----------------------------------------------------------------------------------------------------------
Benchmark                                                                Time             CPU   Iterations
BM_Sort_tuple<uint32, uint64, uint32>_SingleElement_16384             5.70 ns         5.55 ns    106954752
BM_Sort_tuple<uint32, uint64, uint32>_SingleElement_262144            5.72 ns         6.07 ns    146800640
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_1                     3.36 ns         3.19 ns    234881024
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_4                     6.09 ns         6.37 ns     98041856
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_16                    10.4 ns         10.9 ns     73400320
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_64                    16.0 ns         16.2 ns     42467328
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_256                   21.2 ns         20.9 ns     26214400
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_1024                  36.9 ns         35.4 ns     16777216
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_16384                 68.9 ns         68.3 ns     10747904
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_262144                79.6 ns         82.0 ns      8388608
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_1            3.37 ns         3.75 ns    195821568
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_4            5.95 ns         5.55 ns    106954752
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_16           10.3 ns         11.0 ns     65273856
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_64           15.8 ns         16.5 ns     45350912
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_256          21.4 ns         21.3 ns     29360128
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_1024         41.7 ns         42.4 ns     23592960
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_16384        77.4 ns         78.2 ns      8388608
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_262144       93.0 ns         93.7 ns      7340032
BM_Sort_string_Random_1                                               3.66 ns         3.39 ns    234881024
BM_Sort_string_Random_4                                               21.0 ns         19.1 ns     26214400
BM_Sort_string_Random_16                                              46.4 ns         45.9 ns     26214400
BM_Sort_string_Random_64                                              73.0 ns         73.7 ns      9961472
BM_Sort_string_Random_256                                             92.1 ns         90.5 ns      7077888
BM_Sort_string_Random_1024                                             118 ns          117 ns      6029312
BM_Sort_string_Random_16384                                            221 ns          219 ns      3145728
BM_Sort_string_Random_262144                                           595 ns          608 ns      1310720
BM_Sort_string_Ascending_1                                            3.71 ns         3.51 ns    195821568
BM_Sort_string_Ascending_4                                            15.8 ns         15.3 ns     53215232
BM_Sort_string_Ascending_16                                           35.5 ns         34.5 ns     16777216
BM_Sort_string_Ascending_64                                           63.9 ns         64.0 ns     10747904
BM_Sort_string_Ascending_256                                          86.0 ns         88.6 ns      9175040
BM_Sort_string_Ascending_1024                                          111 ns          115 ns      7077888
BM_Sort_string_Ascending_16384                                         184 ns          187 ns      3932160
BM_Sort_string_Ascending_262144                                        356 ns          365 ns      2097152
BM_Sort_string_Descending_1                                           3.71 ns         4.31 ns    195821568
BM_Sort_string_Descending_4                                           12.8 ns         12.2 ns     51118080
BM_Sort_string_Descending_16                                          29.0 ns         28.6 ns     25165824
BM_Sort_string_Descending_64                                          53.0 ns         55.2 ns     10747904
BM_Sort_string_Descending_256                                         78.0 ns         81.5 ns      7864320
BM_Sort_string_Descending_1024                                         102 ns          104 ns      7340032
BM_Sort_string_Descending_16384                                        182 ns          179 ns      4194304
BM_Sort_string_Descending_262144                                       396 ns          365 ns      2097152
BM_Sort_string_SingleElement_1                                        3.72 ns         3.27 ns    195821568
BM_Sort_string_SingleElement_4                                        12.2 ns         11.7 ns     56098816
BM_Sort_string_SingleElement_16                                       18.7 ns         26.6 ns     29360128
BM_Sort_string_SingleElement_64                                       21.7 ns         23.2 ns     23592960
BM_Sort_string_SingleElement_256                                      18.9 ns         18.1 ns     29360128
BM_Sort_string_SingleElement_1024                                     17.1 ns         16.9 ns     47185920
BM_Sort_string_SingleElement_16384                                    17.9 ns         16.9 ns     40632320
BM_Sort_string_SingleElement_262144                                   18.3 ns         17.7 ns     40632320
BM_Sort_string_PipeOrgan_1                                            3.68 ns         3.41 ns    293601280
BM_Sort_string_PipeOrgan_4                                            14.2 ns         13.1 ns     53477376
BM_Sort_string_PipeOrgan_16                                           32.9 ns         31.8 ns     19660800
BM_Sort_string_PipeOrgan_64                                           61.2 ns         60.9 ns     11796480
BM_Sort_string_PipeOrgan_256                                          85.3 ns         85.7 ns      8388608
BM_Sort_string_PipeOrgan_1024                                          112 ns         90.7 ns      6029312
BM_Sort_string_PipeOrgan_16384                                         193 ns          203 ns      3932160
BM_Sort_string_PipeOrgan_262144                                        365 ns          373 ns      2097152
BM_Sort_string_QuickSortAdversary_1                                   3.72 ns         3.30 ns    293601280
BM_Sort_string_QuickSortAdversary_4                                   20.7 ns         22.6 ns     26214400
BM_Sort_string_QuickSortAdversary_16                                  46.2 ns         50.3 ns     23592960
BM_Sort_string_QuickSortAdversary_64                                  73.2 ns         76.9 ns      9961472
BM_Sort_string_QuickSortAdversary_256                                 95.1 ns         85.4 ns      7864320
BM_Sort_string_QuickSortAdversary_1024                                 118 ns          122 ns      6029312
BM_Sort_string_QuickSortAdversary_16384                                219 ns          224 ns      3145728
BM_Sort_string_QuickSortAdversary_262144                               597 ns          596 ns      1310720
BM_Sort_float_Random_1                                                2.61 ns         2.98 ns    167772160
BM_Sort_float_Random_4                                                8.23 ns         8.17 ns     78381056
BM_Sort_float_Random_16                                               18.8 ns         19.1 ns     39321600
BM_Sort_float_Random_64                                               31.5 ns         31.8 ns     23592960
BM_Sort_float_Random_256                                              43.0 ns         42.8 ns     16777216
BM_Sort_float_Random_1024                                             53.2 ns         52.5 ns     13107200
BM_Sort_float_Random_16384                                            73.5 ns         73.2 ns      9175040
BM_Sort_float_Random_262144                                           98.3 ns         97.9 ns      7340032
BM_Sort_float_Ascending_1                                             2.53 ns         2.38 ns    262144000
BM_Sort_float_Ascending_4                                             4.27 ns         4.55 ns    195821568
BM_Sort_float_Ascending_16                                            6.81 ns         6.72 ns    106954752
BM_Sort_float_Ascending_64                                            10.1 ns         10.4 ns     69206016
BM_Sort_float_Ascending_256                                           13.6 ns         13.1 ns     51118080
BM_Sort_float_Ascending_1024                                          33.5 ns         34.2 ns     19660800
BM_Sort_float_Ascending_16384                                         47.9 ns         46.8 ns     14680064
BM_Sort_float_Ascending_262144                                        53.8 ns         54.8 ns     13107200
BM_Sort_float_Descending_1                                            2.92 ns         2.80 ns    262144000
BM_Sort_float_Descending_4                                            2.97 ns         2.87 ns    195821568
BM_Sort_float_Descending_16                                           5.50 ns         5.51 ns    130547712
BM_Sort_float_Descending_64                                           8.35 ns         8.20 ns     83886080
BM_Sort_float_Descending_256                                          11.5 ns         11.7 ns     58720256
BM_Sort_float_Descending_1024                                         24.9 ns         25.2 ns     23592960
BM_Sort_float_Descending_16384                                        51.5 ns         52.2 ns     14680064
BM_Sort_float_Descending_262144                                       57.0 ns         57.0 ns     11796480
BM_Sort_float_SingleElement_1                                         2.50 ns         2.56 ns    262144000
BM_Sort_float_SingleElement_4                                         2.99 ns         2.73 ns    234881024
BM_Sort_float_SingleElement_16                                        3.16 ns         3.43 ns    195821568
BM_Sort_float_SingleElement_64                                        3.25 ns         3.26 ns    234881024
BM_Sort_float_SingleElement_256                                       3.18 ns         3.26 ns    234881024
BM_Sort_float_SingleElement_1024                                      3.17 ns         3.35 ns    195821568
BM_Sort_float_SingleElement_16384                                     3.16 ns         3.19 ns    195821568
BM_Sort_float_SingleElement_262144                                    3.13 ns         3.19 ns    234881024
BM_Sort_float_PipeOrgan_1                                             2.55 ns         2.59 ns    234881024
BM_Sort_float_PipeOrgan_4                                             4.16 ns         3.63 ns    167772160
BM_Sort_float_PipeOrgan_16                                            6.62 ns         6.14 ns    106954752
BM_Sort_float_PipeOrgan_64                                            9.70 ns         9.93 ns     69206016
BM_Sort_float_PipeOrgan_256                                           13.1 ns         13.4 ns     56098816
BM_Sort_float_PipeOrgan_1024                                          28.1 ns         27.8 ns     23592960
BM_Sort_float_PipeOrgan_16384                                         48.2 ns         49.0 ns     14680064
BM_Sort_float_PipeOrgan_262144                                        54.6 ns         54.3 ns     11796480
BM_Sort_float_QuickSortAdversary_1                                    2.50 ns         2.18 ns    365428736
BM_Sort_float_QuickSortAdversary_4                                    3.64 ns         3.75 ns    195821568
BM_Sort_float_QuickSortAdversary_16                                   6.67 ns         6.57 ns    106954752
BM_Sort_float_QuickSortAdversary_64                                   9.25 ns         9.15 ns     73400320
BM_Sort_float_QuickSortAdversary_256                                  12.3 ns         12.2 ns     58720256
BM_Sort_float_QuickSortAdversary_1024                                 27.5 ns         27.8 ns     23592960
BM_Sort_float_QuickSortAdversary_16384                                54.8 ns         54.8 ns     13107200
BM_Sort_float_QuickSortAdversary_262144                               62.5 ns         62.5 ns     10747904
